	Y	Z	X1	X2	X3	X4	X5	e
1	8.483334766	0	-1.252907621	0	2	0.894469134	1.279116005	1.71E-15
2	-0.024110423	0	0.367286648	1	6	0.423795112	0.960677115	0.004641246
3	4.651227558	0	-1.671257225	0	5	0.449174842	1.37404304	4.04E-20
4	5.372044438	1	3.190561604	0	7	0.393609342	0.825444241	1
5	1.523857516	0	0.659015544	1	5	0.740574233	1.473248928	0.004801351
6	6.427445854	0	-1.640936768	0	6	0.695344437	1.803140449	4.87E-24
7	4.193369505	1	0.974858105	1	4	0.475533247	0.730490652	0.999953985
8	8.992141916	1	1.47664941	0	2	0.768018969	0.934501687	1
9	8.793371714	1	1.151562703	0	7	0.379014093	1.517796724	0.99994262
10	3.276334177	0	-0.610776774	0	6	0.284770001	1.383750833	9.65E-10
11	1.736794979	1	3.023562337	1	4	0.51023456	0.619719467	1
12	4.292323502	0	0.779686473	0	8	0.734563832	0.994536212	1.03E-06
13	7.954739833	0	-1.242481161	0	3	0.948922198	0.922628778	1.06E-17
14	9.898917181	0	-4.429399774	0	5	0.608379903	1.671259316	8.34E-46
15	6.948384608	1	2.249861836	0	3	0.679098919	0.478668185	1
16	2.115431057	0	-0.089867218	1	7	0.652297446	1.606066985	2.02E-11
17	0.322722152	0	-0.032380526	1	3	0.49851404	0.387468819	0.000295862
18	6.790215889	1	1.887672421	0	4	0.620935818	1.295948683	1
19	4.48005406	1	1.64244239	1	5	0.612091936	1.8649572	0.999999976
20	9.823014198	1	1.187802642	0	4	0.90207708	1.424928156	0.996713078
21	3.851747845	1	1.837954743	1	3	0.591680767	0.643176544	1
22	8.032353641	1	1.564272601	0	5	0.730616065	0.577082022	0.999997785
23	6.663894924	0	0.149129967	0	7	0.992360669	1.344233248	1.63E-14
24	4.290069249	0	-3.978703392	1	7	0.63856112	1.6322675	5.43E-45
25	7.414914723	1	1.239651496	1	5	0.822473862	1.250261648	0.985673065
26	5.045799352	0	-0.112257479	0	5	0.829949576	0.833357205	1.03E-10
27	0.456973428	0	-0.311591013	1	7	0.373809143	0.692634624	4.09E-09
28	1.727910048	0	-2.941504768	1	3	0.49116105	0.023886308	1.78E-29
29	5.178904899	0	-0.95630011	0	7	0.456408308	1.009676816	5.70E-16
30	8.304977408	1	0.83588312	0	2	0.74045323	1.307839092	0.999909776
31	3.166939847	1	2.717359103	1	3	0.622049603	1.120240902	1
32	2.236118508	0	-0.205575455	1	5	0.579347785	1.390767204	8.40E-09
33	5.133765627	0	0.775343223	0	4	0.866642703	0.692710465	0.138716719
34	1.762611747	0	-0.107610081	1	7	0.432019011	1.549668092	3.15E-08
35	4.335242531	0	-2.754119114	1	4	0.719523579	1.07070443	6.73E-31
36	4.361144921	0	-0.829989127	0	7	0.528056786	1.603106306	5.81E-16
37	5.260889324	0	-0.788579907	0	4	0.542263803	1.732789249	2.76E-12
38	2.609123118	0	-0.118626793	1	7	0.799100273	0.928387056	6.65E-14
39	4.773674056	1	2.200050744	1	6	0.746651964	1.6734133	1
40	6.362918885	1	1.526351497	1	6	0.821090696	0.964925512	0.99725249
41	2.04129434	0	-0.329047193	1	6	0.790299302	0.617759778	7.00E-14
42	3.785514805	0	-0.50672336	1	6	0.932365593	1.09002317	2.83E-17
43	3.477971421	1	1.393926751	1	6	0.467686719	0.994964647	0.999999032
44	6.768334278	1	1.113326397	0	4	0.711664426	1.223808223	0.99967561
45	8.69450323	0	-1.377511389	0	5	0.923421982	1.563757502	1.02E-22
46	4.460738767	0	-1.414990314	0	5	0.24710852	1.169482085	1.06E-15
47	2.102138765	0	0.729163924	1	5	0.819896539	0.390558935	0.002693719
48	2.665381535	1	1.537065849	1	4	0.320324891	1.555680003	1
49	0.167078614	0	-0.224692424	1	3	0.331831535	1.217747968	7.70E-05
50	5.192387947	1	1.762215453	1	6	0.723204999	1.386323749	0.999998694
51	4.541476857	1	0.796211761	1	5	0.572334867	0.601495175	0.834223871
52	7.639056936	0	-1.224052787	0	5	0.87858612	1.172018512	6.74E-21
53	5.305057797	0	0.682239383	0	9	0.536525658	1.582340492	2.76E-05
54	2.797335233	0	-2.258726192	1	5	0.444931669	1.278360299	3.55E-25
55	6.922519585	1	2.866047403	0	9	0.782085159	0.588240054	1
56	3.81306763	1	3.960799797	1	5	0.870113301	0.997196543	1
57	1.348149033	0	-0.734442953	1	6	0.609866795	0.699945689	4.73E-15
58	4.084425337	0	-2.088269253	1	6	0.836721642	1.034445778	9.12E-30
59	3.510158116	0	1.139439255	1	8	0.888900775	0.395171361	2.85E-06
60	2.692586175	0	-0.270109208	1	5	0.789744322	0.730138958	1.20E-11
61	3.570138988	1	4.803235521	1	6	0.981372288	1.210073226	1
62	1.361509086	0	-0.078480005	1	2	0.463286453	0.581788363	0.002020345
63	8.051222814	1	1.379478725	0	6	0.574961601	1.027794347	0.99996771
64	3.045136587	0	0.056004318	0	5	0.355494439	1.060088118	0.000423186
